year,catA,catD
2019,29906.916666666668,3614.5
2020,35403.61111111111,6380.222222222223
2021,47424.583333333336,8585.375
2022,75808.95833333333,10945.166666666666
2023,94537.5,10773.708333333334
2024,90494.66666666667,9279.833333333334
2025,102912.04166666667,8951.416666666666
2026,117547.73333333334,9422.933333333332
