test,spec,road,n,first_year,last_year,r2,adj_r2,cars_coef,cars_ci_lo,cars_ci_hi,premium_coef,premium_ci_lo,premium_ci_hi
T4,base: log cars,expressway,19,2005,2025,0.2558738614,0.2121017356,-0.164434128,-0.2751009715,-0.05376728453,,,
T4,full: log cars + log premium,expressway,19,2005,2025,0.2818947608,0.1921316059,-0.09218969809,-0.1823568797,-0.002022516535,-0.01263204414,-0.0323388255,0.007074737223
T4,"sens: base, density",expressway,13,2005,2017,0.004462600954,-0.08604079896,-0.01560139579,-0.1073230273,0.07612023576,,,
T4,"sens: full, density + premium",expressway,13,2005,2017,0.005021547093,-0.1939741435,-0.009656790755,-0.1137027078,0.09438912631,-0.0007257589845,-0.01246298206,0.01101146409
T4,base: log cars,arterial,19,2005,2025,0.5988274679,0.5752290836,0.3040129532,0.2020766975,0.4059492089,,,
T4,full: log cars + log premium,arterial,19,2005,2025,0.6843760129,0.6449230146,0.1457017084,0.04438635268,0.2470170642,0.02768095249,0.009068921438,0.04629298354
T4,"sens: base, density",arterial,13,2005,2017,0.2606637764,0.1934513924,0.2543611119,0.1584019911,0.3503202328,,,
T4,"sens: full, density + premium",arterial,13,2005,2017,0.6364550686,0.5637460823,0.007343592947,-0.1405857952,0.1552729811,0.04258511403,0.02108207413,0.06408815394
