month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium,cat,date,year,t,ln_p,ln_q,oversub,d_ln_p,d_ln_q,ln_p_lag
2019-11,1,Category D,693,691,831,4100,D,2019-11-01,2019,9.833333333333334,8.318742252692399,6.541029999189903,1.199134199134199,0.0528349185366519,-0.08303522860999024,8.265907334155747
2019-11,2,Category D,698,692,974,3921,D,2019-11-15,2019,9.875,8.27410200229233,6.548219102762372,1.3954154727793697,-0.04464025040006803,0.007189103572469158,8.318742252692399
2019-12,1,Category D,693,678,908,3789,D,2019-12-01,2019,9.916666666666666,8.239857411018601,6.541029999189903,1.3102453102453102,-0.034244591273729696,-0.007189103572469158,8.27410200229233
2019-12,2,Category D,697,696,850,3658,D,2019-12-15,2019,9.958333333333332,8.204671828950811,6.546785410760524,1.2195121951219512,-0.03518558206778977,0.005755411570620872,8.239857411018601
2020-01,1,Category D,707,706,1084,3989,D,2020-01-01,2020,10.0,8.291295851905407,6.561030665896573,1.5332390381895333,0.08662402295459515,0.014245255136049018,8.204671828950811
2020-01,2,Category D,693,693,936,4610,D,2020-01-15,2020,10.041666666666666,8.435983135990694,6.541029999189903,1.3506493506493507,0.14468728408528797,-0.02000066670666989,8.291295851905407
2020-02,1,Category D,578,562,821,4401,D,2020-02-01,2020,10.083333333333334,8.38958706681109,6.359573868672378,1.4204152249134947,-0.04639606917960393,-0.18145613051752552,8.435983135990694
2020-02,2,Category D,577,574,729,4309,D,2020-02-15,2020,10.125,8.368461137615839,6.3578422665081,1.2634315424610052,-0.021125929195251913,-0.0017316021642779234,8.38958706681109
2020-03,1,Category D,593,587,785,4310,D,2020-03-01,2020,10.166666666666666,8.368693183097793,6.385194398997726,1.3237774030354132,0.0002320454819546569,0.02735213248962598,8.368461137615839
2020-03,2,Category D,581,576,757,4489,D,2020-03-15,2020,10.208333333333332,8.409385238781931,6.364750756851911,1.3029259896729777,0.04069205568413814,-0.020443642145814955,8.368693183097793
2020-07,1,Category D,869,856,1611,7702,D,2020-07-01,2020,10.5,8.949235314374855,6.767343125265392,1.85385500575374,0.5398500755929234,0.40259236841348134,8.409385238781931
2020-07,2,Category D,869,864,1355,6510,D,2020-07-15,2020,10.541666666666666,8.781094735202615,6.767343125265392,1.5592635212888377,-0.16814057917224012,0.0,8.949235314374855
2020-08,1,Category D,503,497,720,7701,D,2020-08-01,2020,10.583333333333334,8.94910546953925,6.220590170099739,1.4314115308151094,0.16801073433663483,-0.5467529551656529,8.781094735202615
2020-08,2,Category D,495,491,797,7432,D,2020-08-15,2020,10.625,8.913550280493675,6.20455776256869,1.61010101010101,-0.03555518904557431,-0.016032407531048953,8.94910546953925
